meeting_id,discussion_id
Meeting_16,concert_Meeting_16_Road_Closures_Discussion
Meeting_9,expanding_tourist_wharf_Meeting_9_Start_Report_Discussion
Meeting_9,statue_john_smoth_Travel_The_Bait_Stich_Discussion
Meeting_9,affordable_housing_Travel_Tidewater_Flats_Discussion
Meeting_9,affordable_housing_Meeting_9_Invite_Developers_Discussion
Meeting_9,name_inspection_office_Meeting_9_Community_Vote_Discussion
Meeting_9,waterfront_market_Meeting_9_Report_Discussion
Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report_Discussion
Meeting_4,deep_fishing_dock_Meeting_4_Recommendation_Discussion
Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis_Discussion
Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas_Discussion
Meeting_3,deep_fishing_dock_Meeting_3_Maintenance_Plan_Discussion
Meeting_3,fish_vacuum_Meeting_3_Report_Discussion
Meeting_3,low_volume_crane_Meeting_3_Proposal_Discussion
Meeting_6,affordable_housing_Meeting_6_Sites_Proposal_Discussion
Meeting_10,expanding_tourist_wharf_Meeting_10_Report_Update_Discussion
Meeting_10,affordable_housing_Travel_Tidewater_Flats_Completed_Discussion
Meeting_10,affordable_housing_Meeting_10_Travel_Findings_Discussion
Meeting_10,name_harbor_area_Meeting_10_Historical_Significance_Discussion
Meeting_7,expanding_tourist_wharf_Meeting_7_Initial_Views_Discussion
Meeting_7,affordable_housing_Meeting_7_Debate_Discussion
Meeting_7,heritage_walking_tour_Meeting_7_Discussion
Meeting_7,concert_Meeting_7_Discussion
Meeting_2,deep_fishing_dock_Meeting_2_Importance_Discussion
Meeting_2,fish_vacuum_Meeting_2_Cost_Benefit_Analysis_Discussion
Meeting_11,expanding_tourist_wharf_Meeting_11_Report_Update_Discussion
Meeting_8,expanding_tourist_wharf_Meeting_8_Expand_Ideas_Discussion
Meeting_8,statue_john_smoth_Meeting_8_Proposal_Discussion
Meeting_8,new_crane_lomark_Meeting_8_Share_Findings_Discussion
Meeting_8,low_volume_crane_Travel_Harbor_Route_Solutions_Completed_Discussion_Crane
Meeting_8,low_volume_crane_Meeting_8_Report_Discussion
Meeting_8,affordable_housing_Travel_Waveside_Townhomes_Completed_Discussion
Meeting_8,affordable_housing_Meeting_8_Gather_Feedback_Discussion
Meeting_8,name_inspection_office_Meeting_8_Importance_Discussion
Meeting_1,fish_vacuum_Meeting_1_Introduction_Discussion
Meeting_12,name_harbor_area_Meeting_12_Public_Opinion_Discussion
Meeting_12,marine_life_deck_Meeting_12_Environmental_Impact_Report_Discussion
Meeting_5,new_crane_lomark_Meeting_5_Cost_Impact_Report_Discussion
Meeting_5,low_volume_crane_Travel_Harbor_Route_Solutions_Discussion
Meeting_1,seafood_festival_Meeting_1_Discussion
Meeting_2,fish_vacuum_Travel_Bay_Harvest_Corporation_Discussion
Meeting_2,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Discussion
Meeting_2,seafood_festival_Meeting_2_Feedback_Discussion
Meeting_3,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Discussion
Meeting_3,fish_vacuum_Travel_Bay_Harvest_Corporation_Completed_Discussion
Meeting_3,seafood_festival_Travel_Dock_Roll_Hall_of_Fame_Completed_Discussion
Meeting_3,seafood_festival_Meeting_3_Take_Action_Discussion
Meeting_4,deep_fishing_dock_Travel_High_Seas_Fishing_Inc_Completed_Discussion
Meeting_5,new_crane_lomark_Travel_Blue_Wave_Shipping_Discussion
Meeting_5,renaming_park_himark_Travel_Himark_City_Hall_Discussion
Meeting_5,renaming_park_himark_Meeting_5_Nominations_Discussion
Meeting_7,affordable_housing_Travel_Waveside_Townhomes_Discussion
Meeting_7,waterfront_market_Meeting_7_Discussion
Meeting_7,waterfront_market_Travel_Harbor_Edge_Grill_Discussion
Meeting_8,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Discussion_Tourist
Meeting_8,new_crane_lomark_Travel_Blue_Wave_Shipping_Completed_Discussion
Meeting_8,low_volume_crane_Travel_Harbor_Builders_Discussion
Meeting_8,low_volume_crane_Travel_Haacklee_Assembly_Co_Discussion
Meeting_8,renaming_park_himark_Travel_Himark_City_Hall_Completed_Discussion
Meeting_8,name_inspection_office_Meeting_8_Proposal_Discussion
Meeting_8,heritage_walking_tour_Travel_Captain_Market_Discussion
Meeting_8,heritage_walking_tour_Meeting_8_Proposal_Discussion
Meeting_9,expanding_tourist_wharf_Travel_Harbor_Route_Solutions_Completed_Discussion_Tourist
Meeting_9,low_volume_crane_Travel_Harbor_Builders_Completed_Discussion
Meeting_9,low_volume_crane_Travel_Haacklee_Assembly_Co_Completed_Discussion
Meeting_9,name_inspection_office_Travel_Lomark_Civic_Plaza_Completed_Discussion
Meeting_9,heritage_walking_tour_Travel_Captain_Market_Completed_Discussion
Meeting_9,heritage_walking_tour_Meeting_9_Report_Discussion
Meeting_9,heritage_walking_tour_Meeting_9_Take_Action_Discussion
Meeting_9,waterfront_market_Travel_Harbor_Edge_Grill_Completed_Discussion
Meeting_10,marine_life_deck_Meeting_10_Initial_Ideas_Discussion
Meeting_11,marine_life_deck_Travel_Tropics_Environmental_Hub_Discussion
Meeting_11,marine_life_deck_Meeting_11_Feedback_Discussion
Meeting_12,marine_life_deck_Travel_Tropics_Environmental_Hub_Completed_Discussion
Meeting_12,marine_life_deck_Meeting_12_Detailed_Proposal_Discussion
