meeting_id,plan_id
Meeting_1,fish_vacuum_Meeting_1_Introduction
Meeting_1,seafood_festival_Meeting_1_Feasibility
Meeting_2,fish_vacuum_Travel_Bay_Harvest_Corporation
Meeting_2,fish_vacuum_Meeting_2_Cost_Benefit_Analysis
Meeting_2,seafood_festival_Travel_Dock_Roll_Hall_of_Fame
Meeting_2,seafood_festival_Meeting_2_Feedback
Meeting_3,deep_fishing_dock_Travel_High_Seas_Fishing_Inc
Meeting_3,deep_fishing_dock_Meeting_3_Maintenance_Plan
Meeting_3,fish_vacuum_Meeting_3_Report
Meeting_3,low_volume_crane_Meeting_3_Proposal
Meeting_3,seafood_festival_Meeting_3_Report
Meeting_3,seafood_festival_Meeting_3_Take_Action
Meeting_4,deep_fishing_dock_Meeting_4_Findings_Report
Meeting_4,deep_fishing_dock_Meeting_4_Recommendation
Meeting_4,new_crane_lomark_Meeting_4_Cost_Analysis
Meeting_4,renaming_park_himark_Meeting_4_Name_Ideas
Meeting_4,renaming_park_himark_Travel_Anchor_Way_Grill
Meeting_4,renaming_park_himark_Travel_Sailors_Perch_Light
Meeting_5,new_crane_lomark_Travel_Blue_Wave_Shipping
Meeting_5,new_crane_lomark_Meeting_5_Cost_Impact_Report
Meeting_5,low_volume_crane_Travel_Harbor_Route_Solutions
Meeting_5,renaming_park_himark_Travel_Himark_City_Hall
Meeting_5,renaming_park_himark_Meeting_5_Nominations
Meeting_6,affordable_housing_Meeting_6_Sites_Proposal
Meeting_7,affordable_housing_Travel_Waveside_Townhomes
Meeting_7,affordable_housing_Meeting_7_Debate
Meeting_7,renaming_park_himark_Meeting_7_Announce_Name
Meeting_7,renaming_park_himark_Meeting_7_Unveiling_Event
Meeting_7,heritage_walking_tour_Meeting_7_Outline
Meeting_7,waterfront_market_Meeting_7_Benefits_Feasibility
Meeting_7,waterfront_market_Travel_Harbor_Edge_Grill
Meeting_7,concert_Meeting_7_Concert_Issues
Meeting_8,expanding_tourist_wharf_Travel_Harbor_Route_Solutions
Meeting_8,statue_john_smoth_Meeting_8_Proposal
Meeting_8,new_crane_lomark_Meeting_8_Share_Findings
Meeting_8,low_volume_crane_Meeting_8_Report
Meeting_8,low_volume_crane_Travel_Harbor_Builders
Meeting_8,low_volume_crane_Travel_Haacklee_Assembly_Co
Meeting_8,affordable_housing_Meeting_8_Feedback
Meeting_8,renaming_park_himark_Meeting_8_Compile_Nominations
Meeting_8,name_inspection_office_Meeting_8_Importance
Meeting_8,name_inspection_office_Meeting_8_Proposal
Meeting_8,name_inspection_office_Travel_Lomark_Civic_Plaza
Meeting_8,heritage_walking_tour_Travel_Captain_Market
Meeting_8,heritage_walking_tour_Meeting_8_Proposal
Meeting_8,waterfront_market_Travel_Harborfront_Market
Meeting_8,waterfront_market_Meeting_8_Gather_Feedback
Meeting_8,concert_Travel_Paakland_Elementary
Meeting_9,expanding_tourist_wharf_Meeting_9_Report
Meeting_9,statue_john_smoth_Travel_The_Bait_Stich
Meeting_9,statue_john_smoth_Meeting_9_Feedback
Meeting_9,affordable_housing_Travel_Tidewater_Flats
Meeting_9,affordable_housing_Meeting_9_Invite_Developers
Meeting_9,name_inspection_office_Meeting_9_Community_Vote
Meeting_9,heritage_walking_tour_Meeting_9_Report
Meeting_9,heritage_walking_tour_Meeting_9_Take_Action
Meeting_9,waterfront_market_Meeting_9_Report
Meeting_10,statue_john_smoth_Meeting_10_Presentation
Meeting_10,affordable_housing_Meeting_10_Housing_Proposal
Meeting_10,name_harbor_area_Meeting_10_Historical_Significance
Meeting_10,marine_life_deck_Meeting_10_Initial_Ideas
Meeting_11,name_harbor_area_Travel_The_Bait_Stich
Meeting_11,name_harbor_area_Travel_Harbor_Odyssey_Tours
Meeting_11,name_harbor_area_Meeting_11_Draft_Names
Meeting_11,marine_life_deck_Meeting_11_Feedback
Meeting_11,marine_life_deck_Travel_Tropics_Environmental_Hub
Meeting_12,name_harbor_area_Meeting_12_Public_Opinion
Meeting_12,marine_life_deck_Meeting_12_Environmental_Impact_Report
Meeting_12,marine_life_deck_Meeting_12_Detailed_Proposal
Meeting_14,name_harbor_area_Meeting_14_Finalize_Name
Meeting_14,name_inspection_office_Meeting_14_Announcement
Meeting_16,concert_Meeting_16_Feedback
Meeting_16,concert_Meeting_16_Road_Closures
Meeting_16,concert_Meeting_16_Communication_Complaints
